Symptoms,Disease
increased hunger blurred vision fatigue frequent urination Increased thirst in some cases no noticeable symptoms sugar in urine during tests,Diabetes in Pregnancy
unexplained pain swelling changes in organ function fatigue bleeding or difficulty breathing,Rare Tumours
excessive worries distress when rituals are resisted,Obsessive Compulsive Disorder (OCD)
fainting hot dry skin or heavy sweating High body temperature confusion,Heatstroke and Heat Illness
shortness of breath numbness or weakness fatigue high blood pressure Often no symptoms until arteries are significantly narrowed; possible chest pain leg pain while walking,Atherosclerosis
reduced range of motion symptoms worsening in the morning or after inactivity warmth around joints Joint pain swelling stiffness fatigue,Arthritis
small bumps that may ooze red or inflamed patches Dry itchy skin or irritants stress thickened or cracked skin flare-ups triggered by allergens,Atopic Eczema
watery diarrhea Sudden onset vomiting low-grade fever,Norovirus
strong urge to move legs twitching or jerking of legs during rest,Restless Legs Syndrome
lumps in the underarm area Breast lump nipple discharge breast pain nipple inversion redness change in breast size or shape swelling skin dimpling,Breast Cancer
fullness after eating bloating gas mild abdominal pain nausea belching,Indigestion
trouble hearing in noisy places asking for repetitions withdrawal from conversations ringing in ears (tinnitus) turning up volume frequently muffled sounds Difficulty hearing conversations,Hearing Loss
sore throat muscle or joint pain swollen lymph nodes dizziness headaches Persistent severe fatigue lasting more than 6 months memory or concentration problems,Chronic Fatigue Syndrome (CFS)
weakness Shakiness headache dizziness hunger confusion sweating blurred vision,Hypoglycaemia
Burning sensation during urination lower abdominal pain pelvic discomfort frequent urge to urinate,Urinary Tract Infection (UTI)
fatigue persistent pain Painless or painful growing lump or trunk unexplained weight loss in advanced stages,Soft Tissue Sarcomas in Teenagers and Young Adults
fatigue unexplained weight loss jaundice digestive problems such as bloating or indigestion dark urine Persistent upper abdominal or back pain nausea pale stools,Pancreatic Cancer
flaky scales on the scalp causing itching or dandruff-like appearance itching thickened nails Red burning sensation scaly patches on the skin silvery-white flakes,Skin and Scalp Psoriasis
poor concentration pale skin dizziness headaches rapid heartbeat cold hands Fatigue,Iron Deficiency Anemia
absence of cough Sudden severe sore throat swollen lymph nodes headache red or swollen tonsils white patches on tonsils painful swallowing fever,Strep Throat
or clicking sounds in one or both ears buzzing sometimes associated hearing loss Ringing humming hissing intermittent or constant noise,Tinnitus
changes in skin color or thickness foul-smelling discharge A lump or growth on the penis persistent itching or burning swollen lymph nodes in the groin,Penile Cancer
pain when leaning back increased pain during activities like standing up from sitting or using the toilet tenderness around the tailbone Pain at the base of the spine,Tailbone Pain
throat irritation Hoarse voice loss of voice dry or sore throat dry cough,Laryngitis
nasal blockage ear fullness,Nasopharyngeal Cancer
shortness of breath Persistent cough recurrent lung infections unexplained weight loss hoarseness chest pain wheezing coughing up blood fatigue,Lung Cancer
persistent lower back or side pain abdominal mass fatigue loss of appetite anemia,Kidney Cancer
reduced sexual desire Inability to conceive after 12 months of regular unprotected intercourse very painful periods erectile dysfunction or ejaculation issues in males irregular periods hormonal symptoms like acne or excessive hair growth,Infertility
stomach pain in severe cases paralysis of limbs or breathing muscles Fever headache,Polio (Poliomyelitis)
hips especially in the morning fatigue Aching neck stiffness in the shoulders general feeling of illness,Polymyalgia Rheumatica (PMR)
receding gums bad breath persistent bad taste in the mouth Red swollen gums,Gum Disease
Redness of eyes sensitivity to light watery or sticky discharge burning sensation swollen eyelids,Conjunctivitis
slow movements muscle stiffness mood changes such as depression or anxiety shuffling gait Tremors at rest reduced facial expressions soft or slurred speech fatigue sleep disturbances balance problems,Parkinson’s Disease
frequent infections fatigue unexplained weight loss abdominal swelling or discomfort night sweats chest pain or cough fever Painless swollen lymph nodes,Non-Hodgkin Lymphoma
unexplained weight loss blood in vomit or black stools nausea difficulty swallowing,Stomach Cancer
sharp pain radiating to the lower abdomen or groin cloudy or foul-smelling urine Severe flank or back pain frequent urge to urinate nausea blood in urine vomiting painful urination,Kidney Stones
itching or tingling before hair loss unpredictable episodes of regrowth Sudden patchy hair loss on the scalp or other body parts smooth round bald patches loss nail pitting or ridges,Alopecia Areata
dark circles around the eyes changes in bowel or bladder habits fatigue high blood pressure loss of appetite weight loss bone pain Abdominal swelling or mass weakness fever,Neuroblastoma (Childhood Tumour)
bladder problems fatigue balance issues cognitive difficulties difficulty walking,Multiple Sclerosis (MS)
persistent bloating irregular periods back pain Abdominal or pelvic pain abdominal swelling fatigue urinary urgency or frequency feeling full quickly in some cases a noticeable pelvic mass,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
mild itching Red or pink patches on the skin rough or scaly texture dryness,Eczema (Atopic Dermatitis)
hair loss muscle weakness Fatigue,Vitamin D Deficiency
disorientation memory problems,Delirium
New or changing moles asymmetrical shape or dark streaks under nails,Skin Cancer (Melanoma)
early signs of puberty or hormonal imbalance rapid weight gain Excess body weight low energy difficulty with physical activity,Obesity in Children
sometimes coughing up blood recurrent lung infections shortness of breath wheezing large amounts of mucus,Bronchiectasis
sometimes nosebleeds chest discomfort,High Blood Pressure (Hypertension)
dark urine digestive problems such as bloating or indigestion fatigue new-onset diabetes,Pancreatic Cancer
Visible or palpable bulge under the skin sharp pain during exertion swelling heaviness or pressure in the abdomen or groin,Hernia
dark or dead tissue pain,Skin Ulcer
burning sensation itching scaly patches on the skin cracked or dry skin that may bleed flaky scales on the scalp causing itching or dandruff-like appearance thickened nails silvery-white flakes Red,Skin and Scalp Psoriasis
sometimes chills or persistent tightness in the chest fever wheezing shortness of breath chest discomfort body aches Cough with mucus,Chest Infection
nausea indigestion goes depending on the cause sharp or dull pain in the abdomen vomiting Cramping or pain that comes constipation,Stomach Ache and Abdominal Pain
Often no symptoms fatigue but may include headaches,High Blood Pressure (Hypertension)
gradual restriction of shoulder movement stiffness Shoulder pain pain worsening at night,Frozen Shoulder
fluid discharge pain redness slow healing,Skin Ulcer
swelling nail pitting fatigue Joint pain morning stiffness tenderness stiffness swollen fingers or toes (dactylitis) reduced range of motion,Psoriatic Arthritis
indigestion bloating after meals nausea vomiting blood in vomit or black stools fatigue Persistent stomach pain difficulty swallowing unexplained weight loss,Stomach Cancer
frequent urination back pain Heavy menstrual bleeding pelvic pain or pressure sometimes difficulty getting pregnant constipation,Fibroids
lumps in the underarm area skin dimpling breast pain nipple discharge redness,Breast Cancer
irritability headache dizziness sweating weakness blurred vision fast heartbeat hunger confusion Shakiness,Hypoglycaemia
thinning scalp hair issues with fertility weight gain absent periods Irregular periods acne excessive facial or body hair,Polycystic Ovary Syndrome (PCOS)
Wheezing rapid breathing,Asthma in Children
Wheezing persistent cough especially at night or early morning chest tightness or exercise shortness of breath smoke difficulty breathing during triggers like dust,Asthma
early signs of puberty or hormonal imbalance sleep problems breathlessness joint pain Excess body weight rapid weight gain,Obesity in Children
gradual restriction of shoulder movement stiffness difficulty lifting the arm pain worsening at night Shoulder pain,Frozen Shoulder
